market,ticker,wave,source_gate,latest_period,triage,hard_red_flag_latest,normalization_status,latest_total_score,score_status,red_team_verdict,deep_dive_queue_rank,next_action
US,MSFT,01,ANNUAL_AND_CURRENT_PRIMARY,FY2026_Q4,WATCH,INCREMENTAL_ROIC_INVESTIGATE,VALUATION_INPUTS_USABLE,42,SCORED_A,REVISE,3,Test lease-adjusted AI invested capital and per-share FCF return
US,AMZN,01,ANNUAL_AND_CURRENT_PRIMARY,2026_Q2,WATCH,INCREMENTAL_ROIC_INVESTIGATE,VALUATION_INPUTS_USABLE,44,SCORED_A,REVISE,2,Separate AWS lease utilization and segment-level incremental ROIC
US,META,01,ANNUAL_AND_CURRENT_PRIMARY,2026_Q2,WATCH,CAPITAL_ALLOCATION_INVESTIGATE,VALUATION_INPUTS_USABLE,40,SCORED_B,REVISE,,Test combined AI infrastructure and Reality Labs cash return
US,NOW,01,ANNUAL_AND_CURRENT_PRIMARY,2026_Q2,WATCH,MOAT_AND_DILUTION_INVESTIGATE,VALUATION_INPUTS_USABLE,45,SCORED_A,PASS,1,Test AI disintermediation and SBC-adjusted per-share FCF
US,CRWD,01,ANNUAL_AND_CURRENT_PRIMARY,FY2027_Q2,SCREEN_OUT,PRICE_FAIL_DILUTION_AND_OPERATIONAL_INTEGRITY_INVESTIGATE,VALUATION_INPUTS_USABLE,37,SCORED_B_HARD_VETO,REJECT,,Do not reenter without price reset or stronger low-dilution cash economics
KR,000660,01,CURRENT_IR_PRIMARY,2026_Q2,WATCH,PRICE_CYCLE_CONCENTRATION_AND_MOAT_INVESTIGATE,CUSTOM_CYCLE_MODEL_USABLE_LOW_CONFIDENCE,38,SCORED_B,REVISE,,Verify audited cash conversion capex and HBM share through a full cycle
KR,207940,01,CURRENT_IR_PRIMARY,2026_Q2,WATCH,INCREMENTAL_ROIC_AND_CONCENTRATION_INVESTIGATE,VALUATION_INPUTS_USABLE,40,SCORED_B,REVISE,3,Test plant-level utilization customer concentration and acquisition return
KR,005380,01,CURRENT_IR_PRIMARY,2026_Q2,WATCH,MARGIN_AND_INCREMENTAL_ROIC_INVESTIGATE,CUSTOM_OWNER_EARNINGS_MODEL_USABLE,31,SCORED_WATCH,REVISE,2,Separate manufacturing margin and captive-finance credit returns
KR,012450,01,ANNUAL_INDEX_AND_CURRENT_IR_INDEX,2026_Q2,WATCH,OPERATIONAL_INTEGRITY_DILUTION_AND_CONCENTRATION_INVESTIGATE,VALUATION_INPUTS_USABLE,37,SCORED_B,REVISE,,Resolve independent safety remediation and contract cash quality
KR,010120,01,HALF_YEAR_DART_AND_CURRENT_IR,2026_Q2,WATCH,PRICE_INCREMENTAL_ROIC_AND_CONCENTRATION_INVESTIGATE,VALUATION_INPUTS_USABLE,37,SCORED_B,REVISE,,Test North America capacity returns and working-capital conversion
