market,ticker,as_of,scale_unit,price,price_currency,current_basic_shares_m,ttm_diluted_shares_m,valuation_shares_m,valuation_share_method,dilution_over_basic_pct,equity_value,ttm_revenue,reported_ttm_fcf,reported_fcf_margin_pct,normalized_start_fcf_margin_pct,cash_and_investments,total_debt_including_leases,reported_net_cash_debt,pro_forma_net_cash_debt,ttm_capex,capex_to_revenue_pct,input_status,confidence,primary_evidence,standardization_source,remaining_gap
US,MSFT,2026-09-04,USD_BN,499.70,USD,7427.00,7443.00,7443.00,"latest quarterly diluted weighted-average shares",0.22,3719.267,331.839,66.987,20.19,20.0,76.843,128.813,-51.970,-51.970,115.948,34.94,USABLE,MEDIUM,evidence-wave-01.md#msft--microsoft,https://stockanalysis.com/stocks/msft/financials/,"AI finance leases purchase commitments and asset-life normalization remain"
US,AMZN,2026-09-04,USD_BN,258.51,USD,10783.00,10903.00,10903.00,"latest quarterly diluted weighted-average shares",1.11,2818.535,775.680,-11.625,-1.50,0.0,122.988,251.635,-128.647,-128.647,173.028,22.31,USABLE,MEDIUM,evidence-wave-01.md#amzn--amazon,https://stockanalysis.com/stocks/amzn/financials/,"lease and purchase-commitment utilization; Anthropic gain excluded from normalized economics"
US,META,2026-09-04,USD_BN,616.77,USD,2548.00,2566.00,2566.00,"latest quarterly diluted weighted-average shares",0.71,1582.632,228.247,40.976,17.95,18.0,90.260,112.318,-22.058,-22.058,89.325,39.14,USABLE,MEDIUM,evidence-wave-01.md#meta--meta-platforms,https://stockanalysis.com/stocks/meta/financials/,"AI infrastructure commitments and Reality Labs return evidence remain"
US,NOW,2026-09-04,USD_BN,141.26,USD,1034.00,1034.00,1034.00,"latest quarterly diluted weighted-average shares",0.00,146.063,14.732,4.580,31.09,20.0,6.707,8.453,-1.746,-1.746,0.728,4.94,USABLE,MEDIUM,evidence-wave-01.md#now--servicenow,https://stockanalysis.com/stocks/now/financials/,"normalized margin deducts SBC economically; retention and AI cannibalization remain"
US,CRWD,2026-09-04,USD_BN,213.10,USD,1024.00,1044.00,1044.00,"latest quarterly diluted weighted-average shares",1.95,222.476,5.396,1.609,29.81,10.0,5.014,0.820,4.194,4.194,0.408,7.56,USABLE,MEDIUM,evidence-wave-01.md#crwd--crowdstrike,https://stockanalysis.com/stocks/crwd/financials/,"normalized margin deducts SBC and outage-related claims; future dilution remains a sensitivity"
US,LLY,2026-09-04,USD_BN,1149.36,USD,891.50,894.00,894.00,"latest quarterly diluted weighted-average shares",0.28,1027.528,79.666,18.190,22.83,20.0,9.746,54.908,-45.162,-45.162,9.893,12.42,USABLE,MEDIUM,evidence-wave-02.md#lly--eli-lilly,https://stockanalysis.com/stocks/lly/financials/,"product-level pricing access and serial-acquisition cash returns remain"
US,VRTX,2026-09-04,USD_BN,546.12,USD,253.35,256.00,256.00,"TTM diluted weighted-average shares",1.05,139.807,12.587,3.796,30.16,27.0,13.642,1.978,11.664,2.864,0.497,3.95,USABLE,LOW_MEDIUM,evidence-wave-02.md#vrtx--vertex-pharmaceuticals,https://stockanalysis.com/stocks/vrtx/financials/,"pro-forma net cash subtracts announced USD8.8B Crinetics purchase before other closing adjustments"
US,AXON,2026-09-04,USD_BN,515.67,USD,81.24,83.00,83.00,"latest quarterly diluted weighted-average shares",2.17,42.801,3.219,0.133,4.14,5.0,0.693,1.851,-1.158,-1.158,0.133,4.12,USABLE,LOW_MEDIUM,evidence-wave-02.md#axon--axon-enterprise,https://stockanalysis.com/stocks/axon/financials/,"ATM issuance acquisition shares SBC and cancellable bookings remain"
US,ETN,2026-09-04,USD_BN,410.85,USD,388.40,390.00,390.00,"latest quarterly diluted weighted-average shares",0.41,160.232,30.026,3.934,13.10,12.0,0.695,21.326,-20.631,-20.631,1.016,3.38,USABLE,MEDIUM,evidence-wave-02.md#etn--eaton,https://stockanalysis.com/stocks/etn/financials/,"Boyd financing integration and separated Mobility economics remain"
US,VRT,2026-09-04,USD_BN,280.53,USD,384.94,393.00,393.00,"latest quarterly diluted weighted-average shares",2.09,110.248,11.480,2.930,25.52,14.0,3.111,3.338,-0.228,-0.228,0.424,3.70,USABLE,LOW_MEDIUM,evidence-wave-02.md#vrt--vertiv,https://stockanalysis.com/stocks/vrt/financials/,"normalized margin haircuts advances and working capital; customer and backlog quality remain"
KR,000660,2026-09-04,KRW_TN,1647000,KRW,728.87,712.00,728.87,"greater of current basic and TTM diluted shares; current basic is the floor",0.00,1200.449,189.171,27.823,14.71,10.0,70.039,3.194,66.845,66.845,35.232,18.62,EVIDENCE_GAP,LOW,evidence-wave-01.md#000660--sk하이닉스,https://stockanalysis.com/quote/krx/000660/financials/,"official reconciliation of extraordinary non-operating items cash debt ADR and current diluted shares required"
KR,207940,2026-09-04,KRW_TN,1447000,KRW,46.29,44.00,46.29,"greater of current basic and TTM diluted shares; current basic is the floor",0.00,66.982,5.121,1.628,31.80,16.0,2.213,1.241,0.972,0.972,0.806,15.73,USABLE,LOW_MEDIUM,evidence-wave-01.md#207940--삼성바이오로직스,https://stockanalysis.com/quote/krx/207940/financials/,"acquisition consideration Plant 5 ramp and customer concentration remain"
KR,005380,2026-09-04,KRW_TN,383500,KRW,204.76,261.00,,"class-adjusted total equity-value proxy; common-price multiplication is invalid",,89.590,188.714,-10.615,-5.63,4.0,87.895,190.475,-102.580,-102.580,8.514,4.51,EVIDENCE_GAP,LOW,evidence-wave-01.md#005380--현대자동차,https://stockanalysis.com/quote/krx/005380/financials/,"separate auto and captive-finance FCFE; price preferred classes and guarantees independently"
KR,012450,2026-09-04,KRW_TN,1055000,KRW,51.45,52.00,52.00,"greater of current basic and TTM diluted shares",1.07,54.860,29.952,0.736,2.46,5.0,9.245,15.930,-6.685,-6.685,1.929,6.44,USABLE,LOW_MEDIUM,evidence-wave-01.md#012450--한화에어로스페이스,https://stockanalysis.com/quote/krx/012450/financials/,"historical capital raising customer advances safety and subsidiary cash claims remain"
