market,ticker,wave,latest_period,reported_signal,earnings_normalization,capital_and_cashflow_normalization,dilution_normalization,concentration_normalization,price_as_of,price,price_currency,equity_value_proxy_bn,equity_value_currency,share_basis,normalization_status,confidence,evidence_file,market_source
US,MSFT,01,FY2026_Q4,"FY2026 revenue $331.8B; operating income $155.2B; Azure Q4 growth 43%","Remove $3.2B Anthropic investment gain from recurring earnings","Reconcile cash capex finance leases purchase commitments depreciation and AI asset lives before owner FCF","Fully diluted weighted-average shares and SBC repurchase offset pending","Separate Azure AI from non-AI growth and OpenAI-related commitments",2026-09-04,499.70,USD,3720.27,USD,"market-data market cap; fully diluted shares pending",PARTIAL,MEDIUM,evidence-wave-01.md#msft--microsoft,https://finance.yahoo.com/quote/MSFT/
US,AMZN,01,2026_Q2,"Q2 revenue $200.6B; operating income $27.5B; AWS revenue $42.2B","Remove $53.4B pre-tax Anthropic investment gain from recurring earnings","Treat cash capex finance leases and purchase commitments as investment; TTM reported FCF was -$7.6B","Fully diluted weighted-average shares and SBC repurchase offset pending","Separate AWS advertising and retail economics; test AI capacity utilization",2026-09-04,258.51,USD,2818.53,USD,"market-data market cap; fully diluted shares pending",PARTIAL,MEDIUM,evidence-wave-01.md#amzn--amazon,https://finance.yahoo.com/quote/AMZN/
US,META,01,2026_Q2,"Q2 revenue $60.8B; ad impressions +14%; average price per ad +12%","Keep Reality Labs losses in recurring economics; isolate only identified legal or investment one-offs","Normalize $31.1B quarterly capex and $130-145B FY2026 guide across asset lives and long-term commitments","Fully diluted weighted-average shares and SBC repurchase offset pending","Separate core ad monetization from Reality Labs and new AI-platform optionality",2026-09-04,616.77,USD,1582.63,USD,"market-data market cap; fully diluted shares pending",PARTIAL,MEDIUM,evidence-wave-01.md#meta--meta-platforms,https://finance.yahoo.com/quote/META/
US,NOW,01,2026_Q2,"Q2 subscription revenue $3.877B; cRPO $13.2B; RPO $29.0B","Deduct SBC as an economic cost; separate acquisition accounting from organic operations","Reconcile reported FCF with SBC dilution acquisition cash and capitalized commissions","Fully diluted share trend and repurchase offset pending","Validate renewal and net retention; separate AI ACV from bundle or cannibalization",2026-09-04,141.26,USD,146.11,USD,"market-data market cap; fully diluted shares pending",PARTIAL,MEDIUM,evidence-wave-01.md#now--servicenow,https://finance.yahoo.com/quote/NOW/
US,CRWD,01,FY2027_Q2,"Q2 revenue $1.47B; ARR $5.84B; FCF $377.4M","Deduct SBC and recognize outage compensation litigation and insurance on a cash basis","Reconcile Falcon Flex billings contract liabilities and outage-related cash costs","Fully diluted share trend and net repurchase effect pending","Validate ARR quality and module adoption after the 2024 outage",2026-09-04,213.10,USD,222.58,USD,"market-data market cap; fully diluted shares pending",PARTIAL,MEDIUM,evidence-wave-01.md#crwd--crowdstrike,https://finance.yahoo.com/quote/CRWD/
US,LLY,02,2026_Q2,"Q2 revenue $22.974B; volume +60%; realized price -13%; gross margin 85.8%","Show core operating earnings before acquired IPR&D but retain serial acquisition cash in economic owner earnings","Include manufacturing expansion inventory build and acquisition cash when estimating reinvestment returns","Fully diluted weighted-average shares and SBC pending","Quantify Mounjaro and Zepbound profit concentration and payer pricing",2026-09-04,1149.36,USD,1027.18,USD,"market-data market cap; fully diluted shares pending",PARTIAL,MEDIUM,evidence-wave-02.md#lly--eli-lilly,https://finance.yahoo.com/quote/LLY/
US,VRTX,02,2026_Q2,"Q2 revenue $3.33B; JOURNAVX $50M; CASGEVY $76M; cash and securities $13.6B","Separate CF recurring profit from launch costs and pipeline milestones","Treat $8.8B net-cash Crinetics price as capital allocation rather than an operating one-off","Fully diluted weighted-average shares and acquisition consideration pending","Quantify CF franchise duration and non-CF contribution",2026-09-04,546.12,USD,139.37,USD,"market-data market cap; fully diluted shares pending",PARTIAL,MEDIUM,evidence-wave-02.md#vrtx--vertex-pharmaceuticals,https://finance.yahoo.com/quote/VRTX/
US,AXON,02,2026_Q2,"Q2 revenue $904M; ARR $1.639B; NRR 126%","Deduct SBC; do not treat adjusted EBITDA as owner earnings without share-cost reconciliation","Haircut bookings for cancellable terms and reconcile RPO to cash billing","Include ATM issuance XSP and acquisition shares in fully diluted per-share economics","Separate durable non-cancellable platform contracts from optional periods",2026-09-04,515.67,USD,42.56,USD,"market-data market cap; fully diluted shares pending",PARTIAL,MEDIUM_LOW,evidence-wave-02.md#axon--axon-enterprise,https://finance.yahoo.com/quote/AXON/
US,ETN,02,2026_Q2,"Q2 revenue $8.5B; organic growth 14%; FCF $874M","Separate organic profit from acquisition contribution and separation accounting","Include $9.549B Boyd Thermal purchase price and integration cash in incremental ROIC","Fully diluted weighted-average shares pending","Separate data-center orders from broader electrical and aerospace end markets",2026-09-04,410.85,USD,160.03,USD,"market-data market cap; fully diluted shares pending",PARTIAL,MEDIUM,evidence-wave-02.md#etn--eaton,https://finance.yahoo.com/quote/ETN/
US,VRT,02,2026_Q2,"Q2 revenue $3.274B; organic growth 18%; adjusted FCF $925M","Bridge adjusted to GAAP earnings and remove acquisition contribution from organic trend","Normalize working-capital and advance-payment benefits; split maintenance and growth capex","Fully diluted weighted-average shares and acquisition dilution pending","Validate hyperscaler concentration backlog cancellation and fixed-price exposure",2026-09-04,280.53,USD,110.18,USD,"market-data market cap; fully diluted shares pending",PARTIAL,MEDIUM,evidence-wave-02.md#vrt--vertiv,https://finance.yahoo.com/quote/VRT/
