market,ticker,as_of,scale_unit,hurdle_rate_pct,model_type,equity_value,ttm_revenue,normalized_start_fcf_margin_pct,reverse_terminal_fcf_margin_pct,reverse_terminal_p_fcf,implied_revenue_cagr_5y_pct,implied_revenue_cagr_10y_pct,bear_revenue_cagr_pct,bear_terminal_fcf_margin_pct,bear_terminal_p_fcf,bear_10y_terminal_wealth_irr_pct,base_revenue_cagr_pct,base_terminal_fcf_margin_pct,base_terminal_p_fcf,base_10y_terminal_wealth_irr_pct,bull_revenue_cagr_pct,bull_terminal_fcf_margin_pct,bull_terminal_p_fcf,bull_10y_terminal_wealth_irr_pct,expectation_gap_score,expectation_gap_status,total_score,priority_band,price_hard_flag,overall_hard_flag,screening_decision,promotion_status,confidence,key_limitation
US,MSFT,2026-09-04,USD_BN,9.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,3719.267,331.839,20.0,25.0,25,19.4,13.2,6.0,18.0,18,-2.8,12.0,24.0,22,6.4,16.0,28.0,27,13.5,3,SCORED,42,A,PASS,INVESTIGATE,WATCH,BLOCKED_OTHER_HARD_FLAG,MEDIUM,"AI capex leases and partner commitments keep incremental-ROIC flag open"
US,AMZN,2026-09-04,USD_BN,9.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,2818.535,775.680,0.0,10.0,25,15.2,11.4,6.0,4.0,18,-7.7,12.0,9.0,22,7.2,16.0,12.0,26,15.8,4,SCORED,44,A,PASS,INVESTIGATE,WATCH,BLOCKED_OTHER_HARD_FLAG,MEDIUM,"AWS retail and advertising mix plus AI lease utilization are not fully separated"
US,META,2026-09-04,USD_BN,9.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,1582.632,228.247,18.0,25.0,20,12.6,9.7,3.0,16.0,14,-3.2,8.0,24.0,18,6.3,12.0,30.0,22,13.9,3,SCORED,40,B,PASS,INVESTIGATE,WATCH,BLOCKED_OTHER_HARD_FLAG,MEDIUM,"Reality Labs and AI infrastructure require combined cash-return evidence"
US,NOW,2026-09-04,USD_BN,9.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,146.063,14.732,20.0,30.0,25,12.2,9.7,10.0,18.0,18,1.7,16.0,27.0,23,12.9,21.0,32.0,28,21.5,6,SCORED,45,A,PASS,INVESTIGATE,WATCH,BLOCKED_OTHER_HARD_FLAG,MEDIUM,"SBC-adjusted margin is estimated and AI disintermediation remains open"
US,CRWD,2026-09-04,USD_BN,9.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,222.476,5.396,10.0,28.0,25,52.9,28.5,10.0,8.0,18,-18.6,18.0,24.0,23,-1.8,26.0,32.0,30,10.1,0,SCORED,37,B,FAIL,FAIL,SCREEN_OUT,BLOCKED_HARD_VETO,MEDIUM,"an aggressive bull barely clears the hurdle while diluted shares rose about 4.5% year over year"
US,LLY,2026-09-04,USD_BN,9.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,1027.528,79.666,20.0,25.0,22,25.9,16.2,5.0,18.0,15,-6.1,11.0,24.0,20,3.3,18.0,30.0,26,14.1,2,SCORED,43,A,PASS,INVESTIGATE,WATCH,BLOCKED_OTHER_HARD_FLAG,MEDIUM,"price needs strong cardiometabolic duration and concentration pricing risks remain"
US,VRTX,2026-09-04,USD_BN,9.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,139.807,12.587,27.0,30.0,18,21.6,13.9,1.0,22.0,12,-6.8,7.0,28.0,17,1.9,15.0,35.0,22,13.3,2,SCORED,39,B,PASS,INVESTIGATE,WATCH,BLOCKED_OTHER_HARD_FLAG,LOW_MEDIUM,"non-CF launches must offset franchise concentration and Crinetics capital allocation"
US,AXON,2026-09-04,USD_BN,9.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,42.801,3.219,5.0,22.0,25,27.6,17.3,10.0,5.0,18,-13.2,18.0,18.0,23,6.7,25.0,25.0,28,18.6,3,SCORED,40,B,PASS,INVESTIGATE,WATCH,BLOCKED_OTHER_HARD_FLAG,LOW_MEDIUM,"SBC ATM issuance contract cancellation rights and control remediation remain"
US,ETN,2026-09-04,USD_BN,9.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,160.232,30.026,12.0,14.0,18,22.4,14.4,3.0,10.0,13,-5.5,7.0,13.0,17,1.5,12.0,17.0,22,10.6,1,SCORED,37,B,PASS,INVESTIGATE,WATCH,BLOCKED_OTHER_HARD_FLAG,MEDIUM,"hurdle return requires a strong Boyd and electrical-cycle outcome"
US,VRT,2026-09-04,USD_BN,9.0,DILUTED_EQUITY_TERMINAL_FCF_WITH_INTERIM_CASH,110.248,11.480,14.0,16.0,20,32.1,19.0,5.0,10.0,14,-8.8,12.0,15.0,18,1.6,18.0,19.0,23,11.2,1,SCORED,41,B,INVESTIGATE,INVESTIGATE,WATCH,BLOCKED_PRICE_AND_OTHER_FLAGS,LOW_MEDIUM,"price sits near an aggressive bull after haircutting working-capital and advance benefits"
